Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
12;1184132;2НДФЛ;Покупка недвижимости/ строительство;0;0.25;женский;0;0;высшее;специалист;>250;0;35;45;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184152;2НДФЛ;Покупка недвижимости/ строительство;0;0.58;женский;1;0;высшее;менеджер высшего звена;>250;0;71;33;Торговля;ЗАО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.5555555556;5;4;158;9;4;1;7;43;0;0;0;0;0;0;0
12;1184172;2НДФЛ;Ремонт;1;0.49;мужской;0;0;высшее;менеджер среднего звена;>250;3;23;25;Торговля;ЗАО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.5;1;1;8;2;0;0;14;36;0;0;0;0;0;0;0
12;1184192;Форма банка (без печати работодателя);Ремонт;1;0.36;женский;1;0;высшее;вспомогательный персонал;>250;0;120;38;Торговля;ООО;женат / замужем;1;1;1;1;0;0;0;0;0;0;0.3846153846;5;8;199;13;1;2;17;94;0;0;0;0;0;0;0
12;1184212;2НДФЛ;Ремонт;0;0.47;женский;1;0;среднее-специальное;рабочий;>250;0;19;35;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184232;2НДФЛ;Покупка недвижимости/ строительство;1;0.4;мужской;0;0;высшее;менеджер по продажам;>250;0;97;32;Торговля;ООО;холост / не замужем;2;2;2;2;1;0.0967741935;1;0;0;0;0.3333333333;1;2;56;3;1;0;23;72;1;0;0;0;0;0;0
12;1184252;Форма банка (без печати работодателя);Ремонт;1;0.14;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер по продажам;< 50;0;92;31;Торговля;ООО;женат / замужем;0;0;0;0;0;0;1;1;0;0;0.25;2;6;90;8;1;2;3;63;0;0;0;0;0;0;0
12;1184272;Форма банка (без печати работодателя);Ремонт;1;0.26;мужской;0;0;высшее;рабочий;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184292;2НДФЛ;Ремонт;1;0.32;женский;0;0;высшее;вспомогательный персонал;>250;0;16;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184312;Поступление зарплаты на счет;Ремонт;0;0.43;женский;0;0;высшее;специалист;>250;1;102;38;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184332;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.58;мужской;1;0;высшее;менеджер высшего звена;< 50;0;231;42;Другое;Государственное предприятие;женат / замужем;1;1;0;0;0;0;1;0;0;0;0.5;2;2;39;4;1;1;15;67;0;0;0;0;0;0;0
